Opp,Tournament,Poss_Time_Diff,Score_Diff,Conv_Diff,Tries_Diff,Passes_Diff,Contestable_KO_Win_pct_Diff,PenFK_Against_Diff,RuckMaul_Diff,Ruck_Win_pct_Diff,Cards_diff,Lineout_Win_Pct_Diff,Scrum_Win_Pct_Diff
PNG,2018_Hamilton_7s,16.2534435261708,55.55555555555555,50.0,0.5,10.204081632653057,,20.0,,,,0.06666666666666665,
Samoa,2017-18_Dubai_7s,-20.744680851063833,-30.0,-33.333333333333336,0.25,-41.81818181818181,-0.08333333333333331,,,,,-0.25,
Samoa,2018_Hamilton_7s,8.457711442786064,-16.66666666666667,0.0,-1.0,37.25490196078431,,33.333333333333336,25.0,,,-0.1785714285714286,0.0
Samoa,2018_Las_Vegas,48.16901408450704,36.84210526315789,33.333333333333336,0.25,71.42857142857142,,0.0,0.0,,,-0.08333333333333337,0.0
Scotland,2017-18_Sydney_7s,12.219451371571068,36.84210526315789,33.333333333333336,0.25,6.25,-0.4166666666666667,33.333333333333336,,0.0,,-0.125,0.0
Scotland,2018_Hong_Kong,19.43793911007026,11.764705882352942,0.0,0.6666666666666666,28.0,0.6666666666666667,-33.333333333333336,-14.285714285714292,0.0,,0.04861111111111116,
South Africa,2017-18_Sydney_7s,-17.241379310344826,-66.66666666666666,-66.66666666666666,0.0,3.7037037037037095,-0.4,-33.333333333333336,-20.0,0.0,,0.012987012987012991,
South Africa,2018_Vancouver_7s,-3.480278422273784,-61.111111111111114,-66.66666666666666,0.6,9.589041095890408,,20.0,50.0,,,-0.1333333333333333,
Spain,2017-18_Cape_Town,12.299465240641709,67.74193548387098,60.0,0.75,11.538461538461533,0.0,25.0,60.0,0.0,,0.25,0.0
Spain,2018_Hamilton_7s,15.81508515815085,41.463414634146346,42.85714285714286,-0.09999999999999998,21.568627450980387,,-50.0,-33.333333333333336,,,0.1527777777777778,0.0
Spain,2018_Las_Vegas,6.474820143884898,24.444444444444443,14.285714285714292,0.6666666666666667,22.807017543859644,0.08333333333333331,25.0,0.0,0.0,,0.15384615384615385,
Uruguay,2018_Vancouver_7s,9.425287356321846,,,,8.0,,25.0,33.333333333333336,0.5,,-0.09615384615384615,0.0
Wales,2017-18_Dubai_7s,1.7621145374449299,-16.0,-25.0,0.6,-5.617977528089881,,-50.0,,,,0.33333333333333337,
Wales,2018_Hong_Kong,32.19616204690831,80.76923076923077,75.0,0.8571428571428571,27.272727272727266,,14.285714285714292,0.0,,,0.11428571428571432,
