Opp,Date,Tournament,Match,Poss_Time_Diff,Score_Diff,Conv_Diff,Tries_Diff,Passes_Diff,Contestable_KO_Win_pct_Diff,PenFK_Against_Diff,RuckMaul_Diff,Ruck_Win_pct_Diff,Lineout_Win_Pct_Diff,Scrum_Win_Pct_Diff
SOUTH AFRICA,2016-12-12,2016_Cape_Town,Match_16_South_Africa_vs_USA,40.90909090909091,-47.36842105263159,-33.333333333333336,-1.0,64.0,-0.6666666666666666,0.0,0.0,,0.2857142857142857,0.0
RUSSIA,2016-12-12,2016_Cape_Town,Match_23_USA_vs_Russia,8.136482939632543,20.930232558139537,14.285714285714292,0.4166666666666667,11.538461538461533,0.4,50.0,33.333333333333336,,0.0,0.0
SCOTLAND,2016-12-12,2016_Cape_Town,Match_31_Scotland_vs_USA,21.975308641975303,-11.627906976744185,-14.285714285714292,0.16666666666666663,16.393442622950815,-0.4666666666666666,33.333333333333336,20.0,,0.0,-1.0
FIJI,2016-12-12,2016_Cape_Town,Match_38_USA_vs_Fiji,-12.0,-40.0,-33.333333333333336,-0.5,-28.301886792452827,-0.4,33.333333333333336,0.0,,-0.19999999999999996,0.0
AUSTRALIA,2016-12-12,2016_Cape_Town,Match_7_Australia_vs_USA,-6.161137440758296,100.0,100.0,,-12.5,-0.5,-33.333333333333336,-50.0,-1.0,0.10000000000000009,0.0
UGANDA,2016-12-05,2016_Dubai,Match_11_USA_vs_Uganda,26.600985221674875,61.111111111111114,66.66666666666666,-0.6,39.68253968253968,,-60.0,-50.0,,0.15000000000000002,
SOUTH AFRICA,2016-12-05,2016_Dubai,Match_20_South_Africa_vs_USA,26.259946949602124,-5.555555555555557,0.0,-0.3333333333333333,51.72413793103448,0.0,-20.0,-33.333333333333336,0.0,0.16666666666666674,
RUSSIA,2016-12-05,2016_Dubai,Match_28_USA_vs_Russia,-4.6511627906976685,77.77777777777777,71.42857142857142,0.8333333333333334,-27.272727272727266,0.5714285714285714,25.0,33.333333333333336,-0.5,0.23076923076923073,0.0
KENYA,2016-12-05,2016_Dubai,Match_36_Kenya_vs_USA,-2.702702702702709,5.0,0.0,0.33333333333333337,2.564102564102569,0.0,0.0,0.0,0.0,-0.19999999999999996,
SCOTLAND,2016-12-05,2016_Dubai,Match_3_USA_vs_Scotland,-28.19383259911894,-47.36842105263159,-33.333333333333336,-1.0,-16.883116883116884,-0.5,-14.285714285714292,-20.0,0.0,0.18181818181818177,0.0
