Team,Date,Tournament,Match,Possession Time,Scores,Tries,Conversions,Passes,Contestable_Restart_Win_Pct,Pens_Frees Against,Ruck_Maul,Yellow_Red Cards,TurnoversConceded,Ruck_retention,Lineout_Win_Pct,Scrum_Win_Pct
USA,2017-05-22,2017_London,Match_5_USA_vs_Wales,157,12,2,0.5,27,33.33333333333333,1,1,0,5,1.0,0.0,1.0
WALES,2017-05-22,2017_London,Match_5_USA_vs_Wales,221,28,4,1.0,38,0.0,5,4,0,1,0.875,1.0,1.0
USA,2017-05-15,2017_Paris,Match_12_USA_vs_Wales,230,38,6,0.6666666666666666,31,20.0,1,0,0,0,1.0,1.0,0.0
WALES,2017-05-15,2017_Paris,Match_12_USA_vs_Wales,132,14,2,1.0,20,0.0,2,1,0,1,1.0,0.0,0.0
USA,2017-05-15,2017_Paris,Match_20_USA_vs_New_Zealand,198,14,2,1.0,25,0.0,1,1,0,7,0.9,1.0,0.0
NEW ZEALAND,2017-05-15,2017_Paris,Match_20_USA_vs_New_Zealand,255,27,5,0.2,38,0.0,2,2,0,2,0.875,0.0,1.0
ENGLAND,2017-05-15,2017_Paris,Match_30_England_vs_USA,232,26,4,0.75,35,0.0,2,2,0,2,1.0,1.0,1.0
USA,2017-05-15,2017_Paris,Match_30_England_vs_USA,153,12,2,0.5,35,0.0,4,3,0,3,1.0,1.0,1.0
FIJI,2017-05-15,2017_Paris,Match_37_Fiji_vs_USA,163,14,2,1.0,17,66.66666666666666,6,4,2,4,0.5,0.6666666666666666,0.0
USA,2017-05-15,2017_Paris,Match_37_Fiji_vs_USA,226,24,4,0.5,37,75.0,3,3,0,3,0.6666666666666666,1.0,1.0
USA,2017-05-15,2017_Paris,Match_43_USA_vs_Samoa,252,24,4,0.5,48,60.0,2,1,1,2,0.9,1.0,1.0
SAMOA,2017-05-15,2017_Paris,Match_43_USA_vs_Samoa,163,19,3,0.6666666666666666,22,0.0,1,1,0,5,1.0,1.0,1.0
USA,2017-05-15,2017_Paris,Match_4_USA_vs_Argentina,202,26,4,0.75,32,80.0,2,2,0,1,0.8571428571428571,0.0,1.0
ARGENTINA,2017-05-15,2017_Paris,Match_4_USA_vs_Argentina,170,19,3,0.6666666666666666,24,33.33333333333333,0,0,0,2,1.0,1.0,0.0
USA,2017-04-17,2017_Singapore,Match_16_USA_vs_Scotland,202,33,5,0.8,30,33.33333333333333,4,3,0,1,1.0,0.0,1.0
SCOTLAND,2017-04-17,2017_Singapore,Match_16_USA_vs_Scotland,229,26,4,0.75,39,33.33333333333333,0,0,0,2,1.0,1.0,0.0
USA,2017-04-17,2017_Singapore,Match_24_USA_vs_New_Zealand,210,14,2,1.0,37,0.0,0,0,0,6,1.0,0.5,0.0
NEW ZEALAND,2017-04-17,2017_Singapore,Match_24_USA_vs_New_Zealand,242,21,3,1.0,31,0.0,5,5,0,1,0.75,1.0,1.0
FIJI,2017-04-17,2017_Singapore,Match_29_Fiji_vs_USA,72,19,3,0.6666666666666666,3,33.33333333333333,3,1,0,2,0.0,1.0,1.0
USA,2017-04-17,2017_Singapore,Match_29_Fiji_vs_USA,317,24,4,0.5,63,75.0,0,0,0,2,0.875,1.0,1.0
USA,2017-04-17,2017_Singapore,Match_39_USA_vs_Australia,307,40,6,0.8333333333333334,61,66.66666666666666,1,1,0,2,0.8333333333333334,0.0,1.0
AUSTRALIA,2017-04-17,2017_Singapore,Match_39_USA_vs_Australia,85,7,1,1.0,12,0.0,2,0,0,3,1.0,0.0,0.0
USA,2017-04-17,2017_Singapore,Match_45_USA_vs_Canada,165,19,3,0.6666666666666666,15,0.0,0,0,0,3,1.0,0.0,1.0
CANADA,2017-04-17,2017_Singapore,Match_45_USA_vs_Canada,251,26,4,0.75,33,25.0,3,3,0,3,0.875,0.0,1.0
USA,2017-04-17,2017_Singapore,Match_8_USA_vs_Wales,151,35,5,1.0,21,40.0,2,2,0,2,1.0,0.0,1.0
WALES,2017-04-17,2017_Singapore,Match_8_USA_vs_Wales,232,19,3,0.6666666666666666,50,25.0,0,0,0,3,1.0,0.0,1.0
CANADA,2017-02-06,2017_Sydney,Match_10_Canada_vs_USA,134,19,3,0.6666666666666666,17,0.0,2,2,0,0,0.6666666666666666,0.0,1.0
USA,2017-02-06,2017_Sydney,Match_10_Canada_vs_USA,282,31,5,0.6,62,100.0,1,0,0,5,0.875,0.0,1.0
USA,2017-02-06,2017_Sydney,Match_17_USA_vs_Russia,175,14,2,1.0,28,50.0,2,1,1,7,1.0,0.5,0.0
RUSSIA,2017-02-06,2017_Sydney,Match_17_USA_vs_Russia,181,17,3,0.3333333333333333,30,50.0,1,1,0,2,0.6666666666666666,1.0,1.0
ARGENTINA,2017-02-06,2017_Sydney,Match_1_Argentina_vs_USA,191,19,3,0.6666666666666666,24,100.0,0,0,0,5,1.0,1.0,1.0
USA,2017-02-06,2017_Sydney,Match_1_Argentina_vs_USA,135,22,4,0.25,21,40.0,4,1,0,1,1.0,0.0,1.0
USA,2017-02-06,2017_Sydney,Match_31_USA_vs_South_Africa,235,10,2,0.0,35,0.0,0,0,0,5,1.0,1.0,0.0
SOUTH AFRICA,2017-02-06,2017_Sydney,Match_31_USA_vs_South_Africa,146,21,3,1.0,17,100.0,5,3,0,1,0.75,1.0,1.0
USA,2017-02-06,2017_Sydney,Match_38_USA_vs_Wales,201,19,3,0.6666666666666666,38,66.66666666666666,4,3,0,4,0.6666666666666666,0.0,1.0
WALES,2017-02-06,2017_Sydney,Match_38_USA_vs_Wales,195,10,2,0.0,30,50.0,1,1,0,2,0.5555555555555556,0.5,1.0
FIJI,2017-02-06,2017_Sydney,Match_43_Fiji_vs_USA,159,35,5,1.0,14,20.0,2,1,0,4,0.6,1.0,1.0
USA,2017-02-06,2017_Sydney,Match_43_Fiji_vs_USA,154,12,2,0.5,28,0.0,1,1,0,4,0.6666666666666666,0.0,1.0
USA,2017-03-22,2017_Vancouver,Match_10_USA_vs_France,230,31,5,0.6,38,25.0,3,2,0,1,0.8,1.0,1.0
FRANCE,2017-03-22,2017_Vancouver,Match_10_USA_vs_France,161,19,3,0.6666666666666666,29,100.0,2,1,0,3,0.6666666666666666,0.6666666666666666,0.0
USA,2017-03-22,2017_Vancouver,Match_18_USA_vs_Australia,207,29,5,0.4,23,33.33333333333333,4,4,0,3,0.8,1.0,1.0
AUSTRALIA,2017-03-22,2017_Vancouver,Match_18_USA_vs_Australia,269,5,1,0.0,43,0.0,3,3,0,2,0.8,0.0,1.0
USA,2017-03-22,2017_Vancouver,Match_2_USA_vs_Japan,379,52,8,0.75,72,85.71428571428571,1,1,0,4,1.0,1.0,1.0
JAPAN,2017-03-22,2017_Vancouver,Match_2_USA_vs_Japan,61,0,0,0.0,11,0.0,5,4,0,2,0.6666666666666666,0.0,0.5
USA,2017-03-22,2017_Vancouver,Match_30_USA_vs_Argentina,196,14,2,1.0,29,0.0,4,3,1,6,1.0,1.0,1.0
ARGENTINA,2017-03-22,2017_Vancouver,Match_30_USA_vs_Argentina,183,12,2,0.5,27,0.0,3,3,0,2,0.7142857142857143,0.0,0.0
SOUTH AFRICA,2017-03-22,2017_Vancouver,Match_39_South_Africa_vs_USA,109,14,2,1.0,13,0.0,6,3,0,2,0.6666666666666666,0.0,1.0
USA,2017-03-22,2017_Vancouver,Match_39_South_Africa_vs_USA,291,10,2,0.0,58,66.66666666666666,2,0,0,3,1.0,1.0,1.0
USA,2017-03-22,2017_Vancouver,Match_44_USA_vs_Fiji,156,24,4,0.5,28,25.0,2,2,0,2,1.0,1.0,0.0
FIJI,2017-03-22,2017_Vancouver,Match_44_USA_vs_Fiji,219,28,4,1.0,37,25.0,1,0,0,0,0.8571428571428571,0.0,1.0
USA,2017-01-29,2017_Wellington,Match_15_USA_vs_Samoa,174,24,4,0.5,31,0.0,3,2,0,3,0.5,1.0,1.0
SAMOA,2017-01-29,2017_Wellington,Match_15_USA_vs_Samoa,145,12,2,0.5,19,0.0,3,2,0,4,0.8333333333333334,1.0,1.0
NEW ZEALAND,2017-01-29,2017_Wellington,Match_24_New_Zealand_vs_USA,268,24,4,0.5,48,50.0,3,1,1,3,0.75,1.0,1.0
USA,2017-01-29,2017_Wellington,Match_24_New_Zealand_vs_USA,184,12,2,0.5,29,0.0,2,1,0,6,0.6666666666666666,0.0,0.0
USA,2017-01-29,2017_Wellington,Match_26_USA_vs_Japan,236,19,3,0.6666666666666666,37,0.0,6,4,1,5,0.625,1.0,0.0
JAPAN,2017-01-29,2017_Wellington,Match_26_USA_vs_Japan,220,14,2,1.0,27,0.0,5,4,0,2,0.4444444444444444,0.6666666666666666,1.0
KENYA,2017-01-29,2017_Wellington,Match_35_Kenya_vs_USA,217,19,3,0.6666666666666666,27,0.0,5,4,1,1,0.8333333333333334,0.0,1.0
USA,2017-01-29,2017_Wellington,Match_35_Kenya_vs_USA,244,12,2,0.5,42,0.0,4,3,0,4,1.0,0.5,0.0
USA,2017-01-29,2017_Wellington,Match_7_USA_vs_France,209,21,3,1.0,31,50.0,1,1,0,9,1.0,1.0,0.0
FRANCE,2017-01-29,2017_Wellington,Match_7_USA_vs_France,180,21,3,1.0,24,33.33333333333333,1,1,0,1,0.8888888888888888,1.0,1.0
