Team,Date,Tournament,Match,Possession Time,Scores,Tries,Conversions,Passes,Contestable_Restart_Win_Pct,Pens_Frees Against,Ruck_Maul,Yellow_Red Cards,TurnoversConceded,Ruck_retention,Lineout_Win_Pct,Scrum_Win_Pct
RUSSIA,2016-12-05,2016_Dubai,Match_28_USA_vs_Russia,225,5,1,0.0,35,0.0,3,2,0,2,0.7692307692307693,1.0,1.0
KENYA,2016-12-05,2016_Dubai,Match_36_Kenya_vs_USA,228,19,3,0.6666666666666666,38,50.0,3,2,0,3,1.0,1.0,1.0
USA,2016-12-05,2016_Dubai,Match_36_Kenya_vs_USA,216,21,3,1.0,40,50.0,3,2,0,1,0.8,1.0,0.0
USA,2016-12-05,2016_Dubai,Match_3_USA_vs_Scotland,163,5,1,0.0,32,0.0,3,2,0,3,1.0,1.0,1.0
SCOTLAND,2016-12-05,2016_Dubai,Match_3_USA_vs_Scotland,291,14,2,1.0,45,50.0,4,3,0,1,0.8181818181818182,1.0,1.0
SAMOA,2016-12-05,2016_Dubai,Match_42_Samoa_vs_USA,128,14,2,1.0,19,50.0,1,0,0,4,0.6666666666666666,1.0,0.0
USA,2016-12-05,2016_Dubai,Match_42_Samoa_vs_USA,233,28,4,1.0,38,40.0,4,4,0,2,0.6,0.0,1.0
USA,2016-04-11,2016_Hong_Kong,Match_13_USA_vs_Argentina,235,26,4,0.75,40,50.0,1,1,1,2,0.8,1.0,1.0
ARGENTINA,2016-04-11,2016_Hong_Kong,Match_13_USA_vs_Argentina,168,14,2,1.0,28,33.33333333333333,1,1,0,5,1.0,1.0,0.0
AUSTRALIA,2016-04-11,2016_Hong_Kong,Match_22_Australia_vs_USA,104,7,1,1.0,15,0.0,4,4,0,4,0.7142857142857143,0.0,1.0
USA,2016-04-11,2016_Hong_Kong,Match_22_Australia_vs_USA,251,22,4,0.25,53,33.33333333333333,2,1,0,2,0.9166666666666666,1.0,1.0
USA,2016-04-11,2016_Hong_Kong,Match_30_USA_vs_South_Africa,244,0,0,0.0,43,0.0,3,3,0,8,0.8461538461538461,1.0,1.0
SOUTH AFRICA,2016-04-11,2016_Hong_Kong,Match_30_USA_vs_South_Africa,133,28,4,1.0,13,0.0,5,3,0,3,0.8,1.0,1.0
WALES,2016-04-11,2016_Hong_Kong,Match_37_Wales_vs_USA,121,0,0,0.0,16,100.0,2,2,0,2,0.7142857142857143,0.0,1.0
USA,2016-04-11,2016_Hong_Kong,Match_37_Wales_vs_USA,262,27,5,0.2,52,66.66666666666666,2,2,0,3,1.0,1.0,0.0
USA,2016-04-11,2016_Hong_Kong,Match_3_USA_vs_Portugal,310,21,3,1.0,68,50.0,1,0,0,7,1.0,0.0,1.0
