Opp,Tournament,Poss_Time_Diff,Score_Diff,Conv_Diff,Tries_Diff,Passes_Diff,Contestable_KO_Win_pct_Diff,PenFK_Against_Diff,RuckMaul_Diff,Ruck_Win_pct_Diff,Cards_diff,Lineout_Win_Pct_Diff,Scrum_Win_Pct_Diff
AUSTRALIA,2015_Cape_Town,13.966480446927378,-10.63829787234043,-14.285714285714292,0.25,25.925925925925924,-50.0,0.0,0.0,0.08333333333333337,50,0.33333333333333337,1.0
WALES,2015_Cape_Town,7.47126436781609,15.555555555555557,14.285714285714292,0.08333333333333337,27.868852459016395,25.0,-20.0,-100.0,0.25,0,-1.0,0.0
KENYA,2015_Cape_Town,-33.13609467455621,-44.44444444444445,-33.333333333333336,-0.75,-10.63829787234043,-16.666666666666657,66.66666666666666,60.0,-0.55,0,-1.0,0.0
NEW ZEALAND,2015_Cape_Town,51.75879396984925,33.333333333333336,33.333333333333336,0.0,76.11940298507463,-75.0,-50.0,-100.0,0.25,0,0.0,-1.0
FIJI,2015_Cape_Town,12.880562060889929,-20.83333333333333,-25.0,0.2666666666666666,38.46153846153845,-66.66666666666666,-33.333333333333336,-33.333333333333336,0.20833333333333337,0,-1.0,0.0
PORTUGAL,2015_Cape_Town,26.13636363636364,76.27118644067798,77.77777777777777,-0.25,46.34146341463415,50.0,50.0,33.333333333333336,0.0793650793650793,-50,0.0,1.0
FRANCE,2015_Dubai,-12.359550561797747,-10.63829787234043,-14.285714285714292,0.25,5.714285714285708,-50.0,60.0,33.333333333333336,0.11111111111111116,0,-1.0,0.0
NEW ZEALAND,2015_Dubai,-29.189189189189193,7.692307692307693,0.0,0.5,-48.83720930232559,-50.0,20.0,0.0,-0.1692307692307693,-50,0.0,-1.0
SOUTH AFRICA,2015_Dubai,-1.7369727047146455,5.0,0.0,0.33333333333333337,0.0,-25.0,-100.0,-100.0,-0.06818181818181823,50,1.0,0.5
ENGLAND,2015_Dubai,5.483028720626635,-11.627906976744185,-14.285714285714292,0.16666666666666663,20.0,-16.666666666666657,20.0,25.0,-0.19999999999999996,0,-1.0,0.0
NEW ZEALAND,2015_Dubai,14.795918367346943,44.1860465116279,42.85714285714286,0.09999999999999998,35.59322033898305,-60.0,0.0,14.285714285714292,0.07070707070707061,50,0.0,0.0
PORTUGAL,2015_Dubai,23.40425531914893,52.54237288135593,55.55555555555555,-0.2857142857142857,29.629629629629626,23.80952380952381,100.0,100.0,0.19999999999999996,0,0.0,0.0
SOUTH AFRICA,2016_Cape_Town,40.90909090909091,-47.36842105263159,-33.333333333333336,-1.0,64.0,-66.66666666666666,0.0,0.0,0.2857142857142857,0,1.0,0.0
RUSSIA,2016_Cape_Town,8.136482939632543,20.930232558139537,14.285714285714292,0.4166666666666667,11.538461538461533,40.0,50.0,33.333333333333336,0.0,-50,-0.5,0.0
SCOTLAND,2016_Cape_Town,21.975308641975303,-11.627906976744185,-14.285714285714292,0.16666666666666663,16.393442622950815,-46.66666666666666,33.333333333333336,20.0,0.0,0,1.0,-1.0
FIJI,2016_Cape_Town,-12.0,-40.0,-33.333333333333336,-0.5,-28.301886792452827,-40.0,33.333333333333336,0.0,-0.19999999999999996,0,-1.0,0.0
AUSTRALIA,2016_Cape_Town,-6.161137440758296,100.0,100.0,0.6666666666666666,-12.5,-50.0,-33.333333333333336,-50.0,0.10000000000000009,0,-1.0,0.0
UGANDA,2016_Dubai,26.600985221674875,61.111111111111114,66.66666666666666,-0.6,39.68253968253968,66.66666666666666,-60.0,-50.0,0.15000000000000002,0,1.0,-1.0
SOUTH AFRICA,2016_Dubai,26.259946949602124,-5.555555555555557,0.0,-0.3333333333333333,51.72413793103448,0.0,-20.0,-33.333333333333336,0.16666666666666674,0,0.0,-1.0
RUSSIA,2016_Dubai,-4.6511627906976685,77.77777777777777,71.42857142857142,0.8333333333333334,-27.272727272727266,57.14285714285714,25.0,33.333333333333336,0.23076923076923073,0,-0.5,0.0
KENYA,2016_Dubai,-2.702702702702709,5.0,0.0,0.33333333333333337,2.564102564102569,0.0,0.0,0.0,-0.19999999999999996,0,0.0,-1.0
SCOTLAND,2016_Dubai,-28.19383259911894,-47.36842105263159,-33.333333333333336,-1.0,-16.883116883116884,-50.0,-14.285714285714292,-20.0,0.18181818181818177,0,0.0,0.0
SAMOA,2016_Dubai,29.08587257617728,33.333333333333336,33.333333333333336,0.0,33.333333333333336,10.0,60.0,100.0,-0.06666666666666665,0,-1.0,1.0
ARGENTINA,2016_Hong_Kong,16.625310173697272,30.0,33.333333333333336,-0.25,17.647058823529406,16.66666666666667,0.0,0.0,-0.19999999999999996,-50,0.0,1.0
AUSTRALIA,2016_Hong_Kong,41.408450704225345,51.72413793103448,60.0,-0.75,55.882352941176464,-33.33333333333333,-33.333333333333336,-60.0,0.20238095238095233,0,1.0,0.0
SOUTH AFRICA,2016_Hong_Kong,29.44297082228116,-100.0,-100.0,-1.0,53.57142857142858,0.0,-25.0,0.0,0.0461538461538461,0,0.0,0.0
WALES,2016_Hong_Kong,36.81462140992167,100.0,100.0,0.2,52.94117647058823,33.33333333333334,0.0,0.0,0.2857142857142857,0,1.0,-1.0
PORTUGAL,2016_Hong_Kong,31.07822410147992,61.53846153846155,50.0,1.0,40.206185567010316,50.0,-60.0,-100.0,0.2222222222222222,0,0.0,0.0
