Team,MatchID,Tournament,Scores,Tries,Conversions,Possession Time,Passes,Ruck_Maul,Ruck_retention,Lineout_Win_Pct,Scrum_Win_Pct,Contestable_Restart_Win_Pct,Pens_Frees Against,TurnoversConceded,Yellow_Red Cards
USA,24,2017-18_Cape_Town,22.0,4.0,0.25,282,47,3.0,0.9444444444444444,1.0,1.0,,4.0,1.0,
NEW ZEALAND,25,2017-18_Dubai_7s,22.0,4.0,0.25,195,33,2.0,0.8571428571428571,,,0.3333333333333333,4.0,3.0,
USA,25,2017-18_Dubai_7s,12.0,2.0,0.5,207,37,1.0,0.9090909090909091,,,0.6666666666666666,1.0,6.0,
NEW ZEALAND,26,2018_Hong_Kong,35.0,5.0,1.0,208,31,2.0,1.0,,1.0,0.2,4.0,3.0,
USA,26,2018_Hong_Kong,7.0,1.0,1.0,190,32,2.0,0.8181818181818182,1.0,1.0,,2.0,7.0,
NEW ZEALAND,27,2018_Vancouver_7s,,,,187,35,2.0,0.7,1.0,1.0,,4.0,5.0,1.0
USA,27,2018_Vancouver_7s,17.0,3.0,0.3333333333333333,273,45,1.0,0.8461538461538461,1.0,,0.6666666666666666,1.0,5.0,
USA,28,2018_Hamilton_7s,42.0,6.0,1.0,211,27,,0.6666666666666666,1.0,,0.3333333333333333,3.0,3.0,
PNG,28,2018_Hamilton_7s,12.0,2.0,0.5,152,22,1.0,0.6,,1.0,,2.0,3.0,1.0
SAMOA,29,2017-18_Dubai_7s,26.0,4.0,0.75,227,39,,1.0,1.0,1.0,0.25,,1.0,
USA,29,2017-18_Dubai_7s,14.0,2.0,1.0,149,16,4.0,0.75,,,0.3333333333333333,6.0,4.0,
SAMOA,30,2018_Hamilton_7s,14.0,2.0,1.0,184,16,3.0,0.75,0.6,1.0,,3.0,7.0,
USA,30,2018_Hamilton_7s,10.0,2.0,0.0,218,35,5.0,0.5714285714285714,,1.0,0.3333333333333333,6.0,7.0,
SAMOA,31,2018_Las_Vegas,12.0,2.0,0.5,92,7,1.0,1.0,,1.0,,4.0,4.0,2.0
USA,31,2018_Las_Vegas,26.0,4.0,0.75,263,42,1.0,0.9166666666666666,0.75,1.0,0.5,4.0,2.0,
SCOTLAND,32,2017-18_Sydney_7s,12.0,2.0,0.5,176,30,,1.0,1.0,1.0,0.3333333333333333,2.0,1.0,
USA,32,2017-18_Sydney_7s,26.0,4.0,0.75,225,34,2.0,0.875,1.0,1.0,0.75,4.0,1.0,1.0
SCOTLAND,33,2018_Hong_Kong,15.0,3.0,0.0,172,27,4.0,0.8888888888888888,1.0,1.0,1.0,6.0,4.0,
USA,33,2018_Hong_Kong,19.0,3.0,0.6666666666666666,255,48,3.0,0.9375,1.0,,0.3333333333333333,3.0,3.0,
SOUTH AFRICA,34,2017-18_Sydney_7s,35.0,5.0,1.0,238,26,3.0,0.7142857142857143,1.0,1.0,0.6,6.0,3.0,
USA,34,2017-18_Sydney_7s,7.0,1.0,1.0,168,28,2.0,0.7272727272727273,1.0,,1.0,3.0,6.0,
SOUTH AFRICA,35,2018_Vancouver_7s,29.0,5.0,0.4,223,33,1.0,1.0,,,0.4,2.0,6.0,
USA,35,2018_Vancouver_7s,7.0,1.0,1.0,208,40,3.0,0.8666666666666667,1.0,1.0,,3.0,4.0,
USA,36,2017-18_Cape_Town,26.0,4.0,0.75,210,29,4.0,1.0,1.0,1.0,0.5,5.0,6.0,
SPAIN,36,2017-18_Cape_Town,5.0,1.0,0.0,164,23,1.0,0.75,1.0,1.0,0.5,3.0,6.0,1.0
SPAIN,37,2018_Hamilton_7s,12.0,2.0,0.5,173,20,2.0,0.625,,1.0,,6.0,5.0,
USA,37,2018_Hamilton_7s,29.0,5.0,0.4,238,31,1.0,0.7777777777777778,1.0,1.0,0.5,2.0,6.0,
SPAIN,38,2018_Las_Vegas,17.0,3.0,0.3333333333333333,195,22,2.0,0.8461538461538461,1.0,1.0,0.3333333333333333,3.0,4.0,
USA,38,2018_Las_Vegas,28.0,4.0,1.0,222,35,2.0,1.0,1.0,,0.25,5.0,3.0,
URUGUAY,39,2018_Vancouver_7s,,,,197,23,1.0,0.8461538461538461,0.5,1.0,,3.0,7.0,1.0
USA,39,2018_Vancouver_7s,45.0,7.0,0.7142857142857143,238,27,2.0,0.75,1.0,1.0,0.5,5.0,4.0,
WALES,40,2017-18_Dubai_7s,29.0,5.0,0.4,223,47,4.0,0.6666666666666666,,,0.4,6.0,2.0,
USA,40,2017-18_Dubai_7s,21.0,3.0,1.0,231,42,,1.0,1.0,,,2.0,3.0,
USA,41,2018_Hong_Kong,47.0,7.0,0.8571428571428571,310,35,3.0,0.9,1.0,1.0,0.5,4.0,2.0,
WALES,41,2018_Hong_Kong,5.0,1.0,0.0,159,20,3.0,0.7857142857142857,,,,3.0,6.0,
USA,Match_18_USA_vs_Australia,2015_Cape_Town,21,3,1.0,204,34,4,0.75,1.0,1.0,,5,2,
AUSTRALIA,Match_18_USA_vs_Australia,2015_Cape_Town,26,4,0.75,154,20,4,0.6666666666666666,0.6666666666666666,,0.5,5,1,1
USA,Match_1_USA_vs_Wales,2015_Cape_Town,26,4,0.75,187,39,,1.0,,1.0,0.25,2,9,
WALES,Match_1_USA_vs_Wales,2015_Cape_Town,19,3,0.6666666666666666,161,22,2,0.75,1.0,1.0,,3,5,
KENYA,Match_32_Kenya_vs_USA,2015_Cape_Town,26,4,0.75,225,26,1,0.8,1.0,1.0,0.5,1,4,
USA,Match_32_Kenya_vs_USA,2015_Cape_Town,10,2,0.0,113,21,4,0.25,,1.0,0.6666666666666666,5,3,
NEW ZEALAND,Match_38_New_Zealand_vs_USA,2015_Cape_Town,14,2,1.0,96,8,3,0.6666666666666666,1.0,1.0,,3,2,
USA,Match_38_New_Zealand_vs_USA,2015_Cape_Town,28,4,1.0,302,59,,0.9166666666666666,1.0,,0.75,1,5,
FIJI,Match_43_Fiji_vs_USA,2015_Cape_Town,29,5,0.4,186,20,2,0.6666666666666666,1.0,1.0,,2,4,
USA,Match_43_Fiji_vs_USA,2015_Cape_Town,19,3,0.6666666666666666,241,45,1,0.875,,1.0,0.6666666666666666,1,10,
USA,Match_9_USA_vs_Portugal,2015_Cape_Town,52,8,0.75,222,30,4,0.8571428571428571,,1.0,0.5,6,,1
PORTUGAL,Match_9_USA_vs_Portugal,2015_Cape_Town,7,1,1.0,130,11,2,0.7777777777777778,,,,2,6,
USA,Match_14_USA_vs_France,2015_Dubai,21,3,1.0,156,37,2,1.0,,,0.25,4,,
FRANCE,Match_14_USA_vs_France,2015_Dubai,26,4,0.75,200,33,1,0.8888888888888888,1.0,,0.75,1,1,
NEW ZEALAND,Match_22_New_Zealand_vs_USA,2015_Dubai,12,2,0.5,239,32,4,0.7692307692307693,1.0,1.0,,4,,
USA,Match_22_New_Zealand_vs_USA,2015_Dubai,14,2,1.0,131,11,4,0.6,1.0,,0.5,6,4,1
SOUTH AFRICA,Match_32_South_Africa_vs_USA,2015_Dubai,19,3,0.6666666666666666,205,33,4,0.8181818181818182,,,,6,2,1
USA,Match_32_South_Africa_vs_USA,2015_Dubai,21,3,1.0,198,33,,0.75,1.0,0.5,0.25,,3,
ENGLAND,Match_40_England_vs_USA,2015_Dubai,24,4,0.5,181,24,3,0.7,1.0,1.0,0.5,4,,
USA,Match_40_England_vs_USA,2015_Dubai,19,3,0.6666666666666666,202,36,5,0.5,,1.0,0.6666666666666666,6,3,
NEW ZEALAND,Match_44_New_Zealand_vs_USA,2015_Dubai,12,2,0.5,167,19,3,0.8181818181818182,1.0,1.0,,5,1,1
