,Team,Opposition,Scores,Tries,Possession Time,Passes,Rucks Attack,Ruck_retention,T-Overs Won,Pens_Frees Against,Ruck_Maul,Yellow_Red Cards,Tournament,Conversions,Contestable_Restart_Win_Pct,Lineout_Win_Pct,Scrum_Win_Pct
43,USA,Kenya,19.0,3.0,195,24,12,0.75,1.0,3.0,2.0,,2018_Hamilton_7s,0.6666666666666666,1.0,1.0,1.0
44,USA,Samoa,10.0,2.0,218,35,14,0.5714285714285714,7.0,6.0,5.0,,2018_Hamilton_7s,0.0,0.3333333333333333,,1.0
45,USA,Canada,28.0,4.0,221,27,8,1.0,4.0,3.0,2.0,,2018_Hamilton_7s,1.0,0.4,1.0,1.0
46,Argentina,USA,14.0,2.0,143,12,8,0.875,5.0,4.0,1.0,1.0,2018_Hong_Kong,1.0,0.5,,1.0
47,Argentina,USA,17.0,3.0,151,18,5,0.8,1.0,2.0,1.0,,2018_Hong_Kong,0.3333333333333333,0.25,,
48,France,USA,24.0,4.0,220,28,6,0.6666666666666666,5.0,2.0,1.0,1.0,2018_Hong_Kong,0.5,0.5,,1.0
49,New Zealand,USA,35.0,5.0,208,31,7,1.0,7.0,4.0,2.0,,2018_Hong_Kong,1.0,0.2,,1.0
50,Scotland,USA,15.0,3.0,172,27,9,0.8888888888888888,3.0,6.0,4.0,,2018_Hong_Kong,0.0,1.0,1.0,1.0
51,USA,Argentina,12.0,2.0,314,38,15,1.0,4.0,1.0,,,2018_Hong_Kong,0.5,0.3333333333333333,1.0,1.0
52,USA,Scotland,19.0,3.0,255,48,16,0.9375,4.0,3.0,3.0,,2018_Hong_Kong,0.6666666666666666,0.3333333333333333,1.0,
53,USA,New Zealand,7.0,1.0,190,32,11,0.8181818181818182,3.0,2.0,2.0,,2018_Hong_Kong,1.0,,1.0,1.0
54,USA,Argentina,31.0,5.0,199,28,8,1.0,4.0,2.0,,,2018_Hong_Kong,0.6,0.6666666666666666,1.0,1.0
55,USA,Wales,47.0,7.0,310,35,10,0.9,6.0,4.0,3.0,,2018_Hong_Kong,0.8571428571428571,0.5,1.0,1.0
56,USA,France,24.0,4.0,207,31,5,1.0,4.0,,,,2018_Hong_Kong,0.5,0.3333333333333333,1.0,1.0
57,Wales,USA,5.0,1.0,159,20,14,0.7857142857142857,2.0,3.0,3.0,,2018_Hong_Kong,0.0,,,
58,Argentina,USA,,,149,26,11,0.5454545454545454,6.0,4.0,4.0,,2018_Las_Vegas,,,,1.0
59,Australia,USA,7.0,1.0,143,24,7,0.7142857142857143,6.0,5.0,3.0,,2018_Las_Vegas,1.0,,1.0,1.0
60,England,USA,12.0,2.0,180,24,11,0.6363636363636364,5.0,4.0,3.0,,2018_Las_Vegas,0.5,,1.0,1.0
61,Fiji,USA,7.0,1.0,115,17,5,0.8,7.0,4.0,,1.0,2018_Las_Vegas,1.0,,1.0,1.0
62,Samoa,USA,12.0,2.0,92,7,4,1.0,2.0,4.0,1.0,2.0,2018_Las_Vegas,0.5,,,1.0
63,Spain,USA,17.0,3.0,195,22,13,0.8461538461538461,3.0,3.0,2.0,,2018_Las_Vegas,0.3333333333333333,0.3333333333333333,1.0,1.0
64,USA,Argentina,28.0,4.0,254,39,13,1.0,7.0,2.0,,,2018_Las_Vegas,1.0,0.3333333333333333,1.0,
65,USA,Fiji,19.0,3.0,247,42,11,1.0,4.0,1.0,1.0,,2018_Las_Vegas,0.6666666666666666,0.6666666666666666,1.0,1.0
66,USA,England,17.0,3.0,243,32,14,0.6428571428571429,4.0,6.0,4.0,,2018_Las_Vegas,0.3333333333333333,0.25,1.0,
67,USA,Spain,28.0,4.0,222,35,8,1.0,4.0,5.0,2.0,,2018_Las_Vegas,1.0,0.25,1.0,
