Team,Opposition,MatchID,Tournament,TotalPoints,Scores,Conversions,Total PointsConceded,Tries,Total Tries Conceded,Try Scoring Rate(1 every x secs),Try Conceding Rate(1 every x secs),Tries Scored Build-Up(No Ruck/Maul),Tries Conceded Build-Up(No Ruck/Maul),Opp22m Entries,Opp22m Entry Rate (1 every x secs),Own22m Entries,Own22m Entry Rate(1 every x secs),Tries Scored per Opp22m Entry,Tries Conceded per Own22m Entry,Possession Time,Possession Time(Opp),Passes,Passing Rate(1 every x secs),Rucks Attack,Rucking Rate Attack (secs),Defensive Rucks,% Ruck Success Own,Own Rucks Won per Match,% Ruck Success Opp,Opp Rucks Won per Match,Turnovers Won,Turnovers Conceded,Turnover Differential,Own Contestable Restarts,Own Contestable Restarts Regained,Contestable_Restart_Win_Pct,Opp Contestable Restarts,Opp Contestable Restarts Received,Total Scrums Own Feed,Scrum Success Own Feed,Scrum_Win_Pct,Total Lineouts Own Throw,Lineout Success Own Throw,Lineout_Win_Pct,Penalty/FK Conceded,Ruck-Maul Penalties Conceded,Yellow_Red Cards,Result
Argentina,USA,7,2018_Las_Vegas,28,0.0,0.0,28.0,0.0,4.0,0.0,64.0,0.0,1.0,1.0,149.1,4.0,37.3,0,1.0,149,254,26,5.7,11,13.6,13,0.5454545454545454,6,0.0,0.0,6.0,7.0,-1.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0
Argentina,USA,8,2018_Paris_7s,33,7.0,1.0,26.0,1.0,4.0,115.0,80.0,1.0,0.0,2.0,57.5,4.0,28.7,0.5,1.0,115,319,15,7.7,7,16.4,16,0.8571428571428571,6,0.125,2.0,3.0,4.0,-1.0,1.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0
USA,Argentina,8,2018_Paris_7s,33,26.0,0.75,7.0,4.0,1.0,80.0,115.0,0.0,1.0,4.0,79.6,2.0,159.3,1.0,0.5,319,115,50,6.4,16,19.9,7,0.875,14,0.14285714285714285,1.0,4.0,3.0,1.0,5.0,4.0,80.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,1
Argentina,USA,9,2018_Singapore_7s,48,12.0,0.5,36.0,2.0,6.0,81.0,40.0,1.0,4.0,2.0,80.9,6.0,27.0,1.0,1.0,162,241,34,4.8,8,20.2,12,0.625,5,0.0,0.0,5.0,4.0,1.0,2.0,0.0,0.0,4.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
USA,Argentina,9,2018_Singapore_7s,48,36.0,0.5,12.0,6.0,2.0,40.0,81.0,4.0,1.0,6.0,40.1,2.0,120.4,1.0,1.0,241,162,39,6.2,12,20.1,8,1.0,12,0.375,3.0,4.0,5.0,-1.0,4.0,2.0,50.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
Australia,USA,10,2017-18_Cape_Town,45,14.0,1.0,31.0,2.0,5.0,81.0,54.0,1.0,1.0,2.0,81.2,8.0,20.3,1.0,0.625,162,269,20,8.1,8,20.3,12,1.0,8,0.08333333333333333,1.0,5.0,2.0,3.0,2.0,0.0,0.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0
USA,Australia,10,2017-18_Cape_Town,45,31.0,0.6,14.0,5.0,2.0,54.0,81.0,1.0,1.0,8.0,33.6,2.0,134.5,0.625,1.0,269,162,36,7.5,12,22.4,8,0.9166666666666666,11,0.0,0.0,2.0,5.0,-3.0,4.0,2.0,50.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1
Australia,USA,11,2017-18_Sydney_7s,45,26.0,0.75,19.0,4.0,3.0,49.0,75.0,2.0,0.0,4.0,49.0,3.0,65.3,1.0,1.0,196,225,21,9.3,12,16.3,10,0.9166666666666666,11,0.2,2.0,6.0,3.0,3.0,5.0,1.0,20.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,0.0,1
USA,Australia,11,2017-18_Sydney_7s,45,19.0,0.6666666666666666,26.0,3.0,4.0,75.0,49.0,0.0,2.0,3.0,74.9,4.0,56.2,1.0,1.0,225,196,40,5.6,10,22.5,12,0.8,8,0.08333333333333333,1.0,3.0,6.0,-3.0,4.0,2.0,50.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0
Australia,USA,12,2018_Las_Vegas,35,7.0,1.0,28.0,1.0,4.0,143.0,72.0,0.0,2.0,1.0,143.4,10.0,14.3,1.0,0.4,143,286,24,6.0,7,20.5,16,0.7142857142857143,5,0.1875,3.0,6.0,3.0,3.0,1.0,0.0,0.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,3.0,0.0,0
USA,Australia,12,2018_Las_Vegas,35,28.0,1.0,7.0,4.0,1.0,72.0,143.0,2.0,0.0,10.0,28.6,1.0,286.4,0.4,1.0,286,143,40,7.2,16,17.9,7,0.8125,13,0.2857142857142857,2.0,3.0,6.0,-3.0,4.0,2.0,50.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,2.0,0.0,1
USA,Australia,13,2018_Vancouver_7s,52,21.0,1.0,31.0,3.0,5.0,76.0,31.0,1.0,3.0,3.0,75.9,7.0,32.5,1,0.7142857142857143,228,153,36,6.3,6,37.9,6,1.0,6,0.0,0.0,2.0,2.0,0.0,3.0,1.0,33.33333333333333,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0
Australia,USA,13,2018_Vancouver_7s,52,31.0,0.6,21.0,5.0,3.0,31.0,76.0,3.0,1.0,7.0,21.8,3.0,50.9,0.7142857142857143,1,153,228,16,9.6,6,25.5,6,1.0,6,0.0,0.0,2.0,2.0,0.0,4.0,2.0,50.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1
USA,Canada,14,2017-18_Dubai_7s,15,5.0,0.0,10.0,1.0,2.0,220.0,204.0,0.0,0.0,2.0,109.8,7.0,31.4,0.5,0.2857142857142857,220,408,52,4.2,12,18.3,32,0.9166666666666666,11,0.0625,2.0,3.0,8.0,-5.0,2.0,1.0,50.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,6.0,4.0,0.0,0
Canada,USA,14,2017-18_Dubai_7s,15,10.0,0.0,5.0,2.0,1.0,204.0,220.0,0.0,0.0,7.0,58.4,2.0,204.2,0.2857142857142857,0.5,408,220,72,5.7,32,12.8,12,0.9375,30,0.08333333333333333,1.0,8.0,3.0,5.0,2.0,1.0,50.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,1
Canada,USA,15,2017-18_Sydney_7s,59,19.0,0.6666666666666666,40.0,3.0,6.0,53.0,30.0,1.0,3.0,3.0,53.2,8.0,20.0,1.0,0.75,160,180,20,8.0,9,17.7,6,0.8888888888888888,8,0.0,0.0,1.0,2.0,-1.0,4.0,1.0,25.0,7.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0
USA,Canada,15,2017-18_Sydney_7s,59,40.0,0.8333333333333334,19.0,6.0,3.0,30.0,53.0,3.0,1.0,8.0,22.5,3.0,60.1,0.75,1.0,180,160,19,9.5,6,30.0,9,1.0,6,0.1111111111111111,1.0,2.0,1.0,1.0,7.0,4.0,57.14285714285714,4.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1
Canada,USA,16,2018_Hamilton_7s,42,14.0,1.0,28.0,2.0,4.0,84.0,55.0,1.0,2.0,4.0,41.9,4.0,41.9,0.5,1.0,168,221,20,8.4,13,12.9,8,0.7692307692307693,10,0.0,0.0,7.0,4.0,3.0,2.0,1.0,50.0,5.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0
USA,Canada,16,2018_Hamilton_7s,42,28.0,1.0,14.0,4.0,2.0,55.0,84.0,2.0,1.0,4.0,55.3,4.0,55.3,1.0,0.5,221,168,27,8.2,8,27.7,13,1.0,8,0.2307692307692308,3.0,4.0,7.0,-3.0,5.0,2.0,40.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1
Canada,USA,17,2018_London_7s,46,19.0,0.6666666666666666,27.0,3.0,5.0,71.0,43.0,1.0,3.0,4.0,53.2,5.0,42.5,0.75,1.0,213,215,37,5.7,11,19.3,3,1.0,11,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0
USA,Canada,17,2018_London_7s,46,27.0,0.2,19.0,5.0,3.0,43.0,71.0,3.0,1.0,5.0,43.1,4.0,53.9,1.0,0.75,215,213,42,5.1,3,71.8,11,1.0,3,0.0,0.0,2.0,2.0,0.0,5.0,1.0,20.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1
Canada,USA,18,2018_Singapore_7s,38,12.0,0.5,26.0,2.0,4.0,111.0,48.0,1.0,3.0,3.0,74.2,4.0,55.7,0.6666666666666666,1.0,223,193,38,5.9,15,14.8,9,0.8,12,0.2222222222222222,2.0,2.0,4.0,-2.0,3.0,1.0,33.33333333333333,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,0
USA,Canada,18,2018_Singapore_7s,38,26.0,0.75,12.0,4.0,2.0,48.0,111.0,3.0,1.0,4.0,48.3,3.0,64.4,1.0,0.6666666666666666,193,223,19,10.2,9,21.5,15,0.7777777777777778,7,0.2,3.0,4.0,2.0,2.0,1.0,1.0,100.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,2.0,0.0,1
USA,Canada,19,2018_Vancouver_7s,49,28.0,1.0,21.0,4.0,3.0,50.0,90.0,0.0,2.0,7.0,28.6,3.0,66.7,0.5714285714285714,1,200,271,30,6.7,7,28.6,18,0.7142857142857143,5,0.1111111111111111,2.0,2.0,5.0,-3.0,3.0,2.0,66.66666666666666,4.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,1
Canada,USA,19,2018_Vancouver_7s,49,21.0,1.0,28.0,3.0,4.0,90.0,50.0,2.0,0.0,3.0,90.4,7.0,38.8,1,0.5714285714285714,271,200,36,7.5,18,15.1,7,0.8888888888888888,16,0.2857142857142857,2.0,5.0,2.0,3.0,4.0,1.0,25.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,0
England,USA,20,2018_Las_Vegas,29,12.0,0.5,17.0,2.0,3.0,90.0,81.0,0.0,2.0,3.0,60.1,7.0,25.8,0.6666666666666666,0.42857142857142855,180,243,24,7.5,11,16.4,14,0.6363636363636364,7,0.35714285714285715,5.0,5.0,4.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,0.0,0
USA,England,20,2018_Las_Vegas,29,17.0,0.3333333333333333,12.0,3.0,2.0,81.0,90.0,2.0,0.0,7.0,34.7,3.0,80.9,0.42857142857142855,0.6666666666666666,243,180,32,7.6,14,17.3,11,0.6428571428571429,9,0.3636363636363637,4.0,4.0,5.0,-1.0,4.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,6.0,4.0,0.0,1
England,USA,21,2018_London_7s,45,14.0,1.0,31.0,2.0,5.0,72.0,43.0,1.0,3.0,3.0,48.2,6.0,24.1,0.6666666666666666,0.8333333333333334,145,213,21,6.9,5,28.9,8,0.6,3,0.125,1.0,1.0,6.0,-5.0,3.0,1.0,33.33333333333333,5.0,2.0,0.0,0.0,0.0,2.0,1.0,0.5,2.0,1.0,1.0,0
USA,England,21,2018_London_7s,45,31.0,0.6,14.0,5.0,2.0,43.0,72.0,3.0,1.0,6.0,35.5,3.0,70.9,0.8333333333333334,0.6666666666666666,213,145,40,5.3,8,26.6,5,0.875,7,0.4,2.0,6.0,1.0,5.0,5.0,3.0,60.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
USA,England,22,2018_Paris_7s,42,21.0,1.0,21.0,3.0,3.0,77.0,53.0,1.0,2.0,5.0,46.2,6.0,38.5,0.6,0.5,231,159,52,4.4,13,17.8,5,1.0,13,0.4,2.0,4.0,2.0,2.0,2.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,4.0,1.0,0.0,2
England,USA,22,2018_Paris_7s,42,21.0,1.0,21.0,3.0,3.0,53.0,77.0,2.0,1.0,6.0,26.5,5.0,31.7,0.5,0.6,159,231,25,6.3,5,31.7,13,0.6,3,0.0,0.0,2.0,4.0,-2.0,4.0,2.0,50.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2
