Opp,Tournament,Poss_Time_Diff,Score_Diff,Conv_Diff,Tries_Diff,Passes_Diff,Contestable_KO_Win_pct_Diff,PenFK_Against_Diff,RuckMaul_Diff,Ruck_Win_pct_Diff,Cards_diff,Lineout_Win_Pct_Diff,Scrum_Win_Pct_Diff,-175 : -150,-149 : -125,-124 : -100,-99 : -75,-74 : -25,-24 : -1,0 : 25,26 : 50,51 : 75,76 : 100,101 : 125,126 : 150,Result
SOUTH AFRICA,2016_Dubai,26.259946949602128,-5.555555555555557,0.0,-0.3333333333333333,51.72413793103448,0.0,-20.0,-33.333333333333336,0.16666666666666674,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0
RUSSIA,2016_Dubai,-4.6511627906976685,77.77777777777777,71.42857142857143,0.8333333333333334,-27.272727272727266,57.14285714285714,25.0,33.333333333333336,0.23076923076923075,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,1
KENYA,2016_Dubai,-2.702702702702709,5.0,0.0,0.33333333333333337,2.5641025641025688,0.0,0.0,0.0,-0.2,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,1
SCOTLAND,2016_Dubai,-28.19383259911894,-47.3684210526316,-33.333333333333336,-1.0,-16.883116883116884,-50.0,-14.285714285714292,-20.0,0.18181818181818174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SAMOA,2016_Dubai,29.085872576177284,33.333333333333336,33.333333333333336,0.0,33.333333333333336,10.0,60.0,100.0,-0.06666666666666665,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,1
ARGENTINA,2016_Hong_Kong,16.625310173697272,30.0,33.333333333333336,-0.25,17.647058823529406,16.66666666666667,0.0,0.0,-0.2,-50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,1
AUSTRALIA,2016_Hong_Kong,41.40845070422535,51.72413793103448,60.0,-0.75,55.882352941176464,-33.33333333333333,-33.333333333333336,-60.0,0.20238095238095236,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SOUTH AFRICA,2016_Hong_Kong,29.44297082228116,-100.0,-100.0,-1.0,53.57142857142858,0.0,-25.0,0.0,0.0461538461538461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0
WALES,2016_Hong_Kong,36.81462140992167,100.0,100.0,0.2,52.941176470588225,33.33333333333334,0.0,0.0,0.2857142857142857,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1
PORTUGAL,2016_Hong_Kong,31.078224101479922,61.53846153846154,50.0,1.0,40.20618556701032,50.0,-60.0,-100.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1
ENGLAND,2016_Hong_Kong,-5.2631578947368345,-100.0,-100.0,-0.6666666666666666,13.20754716981132,-66.66666666666666,100.0,100.0,-0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CANADA,2016_Las_Vegas,-43.47826086956522,0.0,0.0,0.0,-58.49056603773585,10.0,33.333333333333336,33.333333333333336,-0.40909090909090906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,2
SOUTH AFRICA,2016_Las_Vegas,-19.308357348703172,-100.0,-100.0,-0.4,-32.075471698113205,33.33333333333333,0.0,50.0,-0.24242424242424246,0.0,0.33333333333333337,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0
KENYA,2016_Las_Vegas,8.828828828828833,30.0,33.333333333333336,-0.25,25.80645161290323,0.0,-27.272727272727266,-20.0,0.15000000000000002,0.0,0.6666666666666666,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,1
FIJI,2016_Las_Vegas,19.410319410319413,-20.0,-20.0,0.0,26.3157894736842,0.0,-71.42857142857143,-33.333333333333336,0.05000000000000005,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0
SOUTH AFRICA,2016_Las_Vegas,18.627450980392155,-35.48387096774193,-20.0,-1.0,30.76923076923077,0.0,-20.0,-11.111111111111114,0.13888888888888884,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0
